model,layer,name,name_id,shape[0],shape[1]
Mistral-7B-v0.1,14,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,14,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,14,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,14,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,14,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,15,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,15,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,15,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,15,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,15,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,15,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,15,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,16,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,16,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,16,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,16,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,16,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,16,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,16,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,17,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,17,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,17,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,17,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,17,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,17,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,17,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,18,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,18,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,18,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,18,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,18,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,18,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,18,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,19,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,19,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,19,self_attn.v_proj,3,1024,4096
